"Date de début";"Date de fin";"Organisme";"code zas";"Zas";"code site";"nom site";"type d'implantation";"Polluant";"type d'influence";"Réglementaire";"type d'évaluation";"type de valeur";"valeur";"valeur brute";"unité de mesure";"taux de saisie";"couverture temporelle";"couverture de données";"code qualité";"validité";"Latitude";"Longitude"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"GWAD'AIR";"FR01ZAG01";"ZAG POINTE-A-PITRE";"FR37006";"PTP-VICTOIRE";"Urbaine";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"22.0";"22.290652173912914";"µg/m3";"95.0";"99.0";"95.0";"R";"1";"16.23674";"-61.534101"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"GWAD'AIR";"FR01ZRE01";"ZR GUADELOUPE";"FR37010";"BT_PICHON";"Urbaine";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"18.0";"17.883440039399183";"µg/m3";"96.0";"97.0";"93.0";"R";"1";"15.994349";"-61.727203"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"GWAD'AIR";"FR01ZRE01";"ZR GUADELOUPE";"FR37038";"SXM Marigot";"Urbaine";"PM10";"Fond";"Oui";"mesures indicatives";"Moy. annuelle";"22.0";"21.68158199356913";"µg/m3";;;;"R";"1";"18.070114";"-63.081481"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"GWAD'AIR";"FR01ZAG01";"ZAG POINTE-A-PITRE";"FR37040";"ABYMES RN1";"Périurbaine";"PM10";"Trafic";"Oui";"mesures fixes";"Moy. annuelle";"26.0";"26.246757543673855";"µg-m3";"88.0";"98.0";"86.0";"R";"1";"16.254085";"-61.53713"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"GWAD'AIR";"FR01ZRE01";"ZR GUADELOUPE";"FR37041";"Anse-Bertrand Campêche";"Rurale régionale";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"22.0";"22.095096621532793";"µg/m3";"88.0";"99.0";"87.0";"R";"1";"16.4545";"-61.4281"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO REUNION";"FR04ZAR01";"ZAR SAINT-DENIS";"FR38001";"LYC. LISLET GEOFFROY";"Urbaine";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"9.0";"8.816233236151609";"µg-m3";"98.0";"100.0";"98.0";"R";"1";"-20.889893";"55.46884"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO REUNION";"FR04ZAR02";"ZAR VOLCAN";"FR38011";"Station Luther King";"Urbaine";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"14.0";"13.717418644867175";"µg-m3";"85.0";"86.0";"73.0";"N";"-1";"-21.334406";"55.45906"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO REUNION";"FR04ZAR02";"ZAR VOLCAN";"FR38014";"Ligne Paradis";"Périurbaine";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"11.0";"11.266160547604247";"µg-m3";"96.0";"95.0";"92.0";"R";"1";"-21.312895";"55.474194"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO REUNION";"FR04ZAR02";"ZAR VOLCAN";"FR38016";"Station Bourg-Murat";"Rurale régionale";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"4.0";"4.38943168865006";"µg-m3";"96.0";"73.0";"70.0";"N";"-1";"-21.204815";"55.58262"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO REUNION";"FR04ZAR02";"ZAR VOLCAN";"FR38017";"Grand Coude";"Rurale régionale";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"4.0";"4.381801994301974";"µg-m3";"80.0";"80.0";"64.0";"N";"-1";"-21.29433";"55.62793"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO REUNION";"FR04ZAR01";"ZAR SAINT-DENIS";"FR38020";"Plateau Caillou";"Urbaine";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"8.0";"7.857658473479987";"µg-m3";"88.0";"100.0";"88.0";"R";"1";"-21.022112";"55.266773"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO REUNION";"FR04ZAR01";"ZAR SAINT-DENIS";"FR38021";"Grand Fond";"Périurbaine";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"21.0";"21.098876404494373";"µg-m3";"81.0";"42.0";"35.0";"N";"-1";"-21.032139";"55.232563"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO REUNION";"FR04ZAR01";"ZAR SAINT-DENIS";"FR38022";"Chaussée Royale";"Urbaine";"PM10";"Trafic";"Oui";"mesures fixes";"Moy. annuelle";"17.0";"16.63140137365948";"µg-m3";"95.0";"100.0";"95.0";"R";"1";"-20.998577";"55.28062"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO REUNION";"FR04ZAR02";"ZAR VOLCAN";"FR38023";"BD BANKS";"Urbaine";"PM10";"Trafic";"Oui";"mesures fixes";"Moy. annuelle";"23.0";"23.357205781142376";"µg-m3";"83.0";"100.0";"83.0";"N";"-1";"-21.331703";"55.478949"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO REUNION";"FR04ZRE01";"ZR LA REUNION";"FR38024";"RDT SAINT-LEU";"Rurale près des villes";"PM10";"Trafic";"Oui";"mesures fixes";"Moy. annuelle";"17.0";"16.849519822703765";"µg-m3";"95.0";"97.0";"93.0";"R";"1";"-21.213212";"55.302844"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"MADININAIR";"FR02ZAR01";"ZAR FORT-DE-FRANCE";"FR39008";"Ville de Schoelcher";"Urbaine";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"20.0";"20.27502028515125";"µg-m3";"98.0";"100.0";"98.0";"R";"1";"14.616389";"-61.100792"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"MADININAIR";"FR02ZAR01";"ZAR FORT-DE-FRANCE";"FR39009";"Lamentin";"Urbaine";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"22.0";"22.450130672368683";"µg-m3";"96.0";"100.0";"96.0";"R";"1";"14.610653";"-61.002586"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"MADININAIR";"FR02ZAR01";"ZAR FORT-DE-FRANCE";"FR39011";"Reneville";"Urbaine";"PM10";"Trafic";"Oui";"mesures fixes";"Moy. annuelle";"30.0";"30.230757139114452";"µg-m3";"87.0";"100.0";"87.0";"R";"1";"14.614111";"-61.0530833"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"MADININAIR";"FR02ZRE01";"ZR MARTINIQUE";"FR39014";"Sainte_Luce";"Périurbaine";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"18.0";"18.04724919093856";"µg-m3";"99.0";"100.0";"99.0";"R";"1";"14.468869";"-60.927417"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"MADININAIR";"FR02ZAR01";"ZAR FORT-DE-FRANCE";"FR39015";"Fort-de-France - Hôtel de ville";"Urbaine";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"20.0";"19.90597322348091";"µg-m3";"100.0";"100.0";"100.0";"R";"1";"14.607444";"-61.069778"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"MADININAIR";"FR02ZAR01";"ZAR FORT-DE-FRANCE";"FR39016";"Robert Bourg";"Urbaine";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"17.0";"16.72129333661173";"µg-m3";"95.0";"98.0";"93.0";"R";"1";"14.678025";"-60.939056"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO GUYANE";"FR03ZRE01";"ZR GUYANE";"FR40006";"Kourou Gaston Monnerville Brady";"Urbaine";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"17.0";"16.78771126760566";"µg/m3";"98.0";"99.0";"97.0";"R";"1";"5.164248";"-52.64649"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO GUYANE";"FR03ZAR01";"ZAR ILE-DE-CAYENNE";"FR40008";"Caiena3";"Urbaine";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"19.0";"19.032906295754028";"µg-m3";"96.0";"98.0";"94.0";"R";"1";"4.9378467";"-52.32093"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO GUYANE";"FR03ZAR01";"ZAR ILE-DE-CAYENNE";"FR40009";"Cayenne-Bouchon";"Urbaine";"PM10";"Trafic";"Oui";"mesures fixes";"Moy. annuelle";"20.0";"20.348346705567767";"µg/m3";"95.0";"99.0";"94.0";"R";"1";"4.920833";"-52.321944"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"QUALITAIR CORSE";"FR94ZAR01";"ZAR AJACCIO";"FR41001";"AJACCIO CANETTO";"Urbaine";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"15.0";"14.685704490915338";"µg-m3";"100.0";"100.0";"100.0";"R";"1";"41.924694";"8.735694"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"QUALITAIR CORSE";"FR94ZAR02";"ZAR BASTIA";"FR41002";"BASTIA GIRAUD";"Urbaine";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"12.0";"11.704818996624379";"µg-m3";"98.0";"100.0";"98.0";"R";"1";"42.697917";"9.446417"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"QUALITAIR CORSE";"FR94ZAR02";"ZAR BASTIA";"FR41004";"BASTIA LA MARANA";"Périurbaine";"PM10";"Industrielle";"Oui";"mesures fixes";"Moy. annuelle";"11.0";"11.495809925093623";"µg-m3";"98.0";"100.0";"98.0";"R";"1";"42.535833";"9.475972"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"QUALITAIR CORSE";"FR94ZAR02";"ZAR BASTIA";"FR41017";"BASTIA MONTESORO";"Périurbaine";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"11.0";"11.4279754601227";"µg-m3";"93.0";"100.0";"93.0";"R";"1";"42.671333";"9.434639"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"QUALITAIR CORSE";"FR94ZRE01";"ZR CORSE";"FR41024";"VENACO";"Rurale régionale";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"9.0";"9.183583333333337";"µg-m3";"96.0";"99.0";"96.0";"R";"1";"42.236028";"9.190028"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"QUALITAIR CORSE";"FR94ZAR01";"ZAR AJACCIO";"FR41059";"AJACCIO ABBATUCCI";"Urbaine";"PM10";"Trafic";"Oui";"mesures fixes";"Moy. annuelle";"23.0";"22.822547770700634";"µg-m3";"88.0";"10.0";"9.0";"N";"-1";"41.92575";"8.738278"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"QUALITAIR CORSE";"FR94ZAR02";"ZAR BASTIA";"FR41060";"BASTIA FANGO";"Urbaine";"PM10";"Trafic";"Oui";"mesures fixes";"Moy. annuelle";"12.0";"12.309721027405644";"µg-m3";"96.0";"97.0";"93.0";"R";"1";"42.702833";"9.446389"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"QUALITAIR CORSE";"FR94ZAR01";"ZAR AJACCIO";"FR41063";"AJACCIO CONFINA 2";"Périurbaine";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"15.0";"15.486065573770539";"µg-m3";"93.0";"100.0";"93.0";"R";"1";"41.94768611";"8.79615833"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"QUALITAIR CORSE";"FR94ZAR01";"ZAR AJACCIO";"FR41073";"AJACCIO NAPOLEON";"Urbaine";"PM10";"Trafic";"Oui";"mesures fixes";"Moy. annuelle";"21.0";"21.426104868913786";"µg-m3";"82.0";"37.0";"30.0";"N";"-1";"41.929967";"8.739364"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO GRAND EST";"FR44ZAG01";"ZAG STRASBOURG";"FR42010";"Strasbourg Neudorf Ecoquartier Danube";"Urbaine";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"16.0";"16.3358710562414";"µg-m3";"100.0";"100.0";"100.0";"R";"1";"48.572808";"7.767833"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"HAWA MAYOTTE";"FR06ZRE01";"ZR MAYOTTE";"FR43001";"Kawéni Village";"Urbaine";"PM10";"Trafic";"Oui";"mesures fixes";"Moy. annuelle";"35.0";"34.56597261836842";"µg-m3";"89.0";"45.0";"40.0";"N";"-1";"-12.772944";"45.223206"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"HAWA MAYOTTE";"FR06ZRE01";"ZR MAYOTTE";"FR43002";"Convalescence";"Urbaine";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"17.0";"17.42825112107619";"µg-m3";"94.0";"98.0";"92.0";"R";"1";"-12.778186";"45.220235"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"HAWA MAYOTTE";"FR06ZRE01";"ZR MAYOTTE";"FR43099";"Kawéni Nord";"Périurbaine";"PM10";"Trafic";"Oui";"mesures fixes";"Moy. annuelle";"51.0";"51.3400149812734";"µg-m3";"82.0";"93.0";"76.0";"N";"-1";"-12.761174";"45.226197"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO OCCITANIE";"FR76ZRE01";"ZR OCCITANIE";"FR50060";"Montauban - Ramierou";"Urbaine";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"14.0";"13.533329499712483";"µg/m3";"99.0";"100.0";"99.0";"R";"1";"44.01285657";"1.37530522"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO OCCITANIE";"FR76ZAR01";"ZAR PERPIGNAN";"FR50224";"Perpignan bd Pyrénées";"Urbaine";"PM10";"Trafic";"Oui";"mesures fixes";"Moy. annuelle";"22.0";"22.120262972528803";"µg-m3";"97.0";"100.0";"97.0";"R";"1";"42.69587";"2.888483"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO OCCITANIE";"FR76ZAG02";"ZAG MONTPELLIER";"FR50225";"Montpellier Liberté";"Urbaine";"PM10";"Trafic";"Oui";"mesures fixes";"Moy. annuelle";"26.0";"25.589753475873387";"µg/m3";"98.0";"100.0";"98.0";"R";"1";"43.611606";"3.827868"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO BOURGOGNE-FRANCHE-COMTE";"FR27ZAR03";"ZAR BESANCON";"FR82006";"Besançon Prévoyance";"Urbaine";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"13.0";"13.243025838886917";"µg-m3";"98.0";"100.0";"98.0";"R";"1";"47.2474";"6.015419"
